issuer_id,ticker_nse,bse_code,isin,name,sector,verification_status,verified_source
IN-INFY,INFY,500209,INE009A01021,Infosys Limited,Information Technology,verified,"NSE quote page (INE009A01021); BSE stock page (INFY|500209|INE009A01021); infosys.com/investors share-details; NSE Integrated Filing XBRL in-capmkt:ISIN"
IN-HINDUNILVR,HINDUNILVR,500696,INE030A01027,"Hindustan Unilever Limited",Consumer Staples,verified,"NSE quote page (INE030A01027); BSE stock page (HINDUNILVR|500696|INE030A01027); HUL results letterhead; NSE Integrated Filing XBRL in-capmkt:ISIN"
IN-TCS,TCS,532540,INE467B01029,Tata Consultancy Services Limited,Information Technology,verified,"NSE quote page (INE467B01029); BSE stock page (TCS|532540|INE467B01029); NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupA.json)"
IN-HCLTECH,HCLTECH,532281,INE860A01027,HCL Technologies Limited,Information Technology,verified,"NSE quote page (INE860A01027); BSE stock page header (HCLTECH|532281|INE860A01027) in page body — BSE title-echo trap documented; NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupA.json)"
IN-ITC,ITC,500875,INE154A01025,ITC Limited,Consumer Staples,verified,"NSE quote page (INE154A01025); BSE stock page header (ITC|500875|INE154A01025); NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupA.json)"
IN-ASIANPAINT,ASIANPAINT,500820,INE021A01026,Asian Paints Limited,Consumer Discretionary,verified,"NSE quote page (INE021A01026); BSE stock page (ASIANPAINT|500820|INE021A01026); NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupA.json)"
IN-MARUTI,MARUTI,532500,INE585B01010,Maruti Suzuki India Limited,Consumer Discretionary,verified,"NSE quote page EQ series (INE585B01010); BSE stock page body (MARUTI|532500|INE585B01010); NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode/NameOfTheCompany (manifest_groupB.json)"
IN-ULTRACEMCO,ULTRACEMCO,532538,INE481G01011,UltraTech Cement Limited,Industrials,verified,"NSE quote page (INE481G01011); BSE stock page header (ULTRACEMCO|532538|INE481G01011) in page body; NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupB.json)"
IN-SUNPHARMA,SUNPHARMA,524715,INE044A01036,Sun Pharmaceutical Industries Limited,Healthcare,verified,"NSE quote page (INE044A01036); BSE stock page header (SUNPHARMA|524715|INE044A01036) in page body; NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupB.json)"
IN-LT,LT,500510,INE018A01030,Larsen & Toubro Limited,Industrials,verified,"NSE quote page (INE018A01030); BSE stock page header (LT|500510|INE018A01030) in page body; NSE Integrated Filing XBRL in-capmkt:ISIN/Symbol/ScripCode (manifest_groupB.json)"
